,country_code,level_1,year,gpc_growth,year_gap,annual_growth
6731,HRV,15582,2004,0.039866152540126265,1,0.039866152540126265
6732,HRV,15751,2005,0.040679080768459386,1,0.040679080768459386
6733,HRV,15920,2006,0.04705377094673935,1,0.04705377094673935
6734,HRV,16089,2007,0.05098830936788623,1,0.05098830936788623
6735,HRV,16258,2008,0.02098174695276178,1,0.02098174695276178
6736,HRV,16427,2009,-0.07549669601202602,1,-0.07549669601202602
6737,HRV,16596,2010,-0.014535139619113124,1,-0.014535139619113124
6738,HRV,16765,2011,0.0003028773369955218,1,0.0003028773369955218
6739,HRV,16934,2012,-0.018954049873618928,1,-0.018954049873618928
6740,HRV,17103,2013,-0.007382774440310769,1,-0.007382774440310769
6741,HRV,17272,2014,-0.0007257270548173267,1,-0.0007257270548173267
6742,HRV,17441,2015,0.021241371204135717,1,0.021241371204135717
6743,HRV,17609,2016,0.033840629929644095,1,0.033840629929644095
9706,MKD,7539,1953,0.04131111992320413,1,0.04131111992320413
9707,MKD,7685,1954,0.021618135720849807,1,0.021618135720849807
9708,MKD,7831,1955,0.18890052789199707,1,0.18890052789199707
9709,MKD,7977,1956,0.012058154900701723,1,0.012058154900701723
9710,MKD,8123,1957,0.08978799588340891,1,0.08978799588340891
9711,MKD,8269,1958,0.07527062778986604,1,0.07527062778986604
9712,MKD,8415,1959,0.024149864462428283,1,0.024149864462428283
9713,MKD,8561,1960,0.05882518010474058,1,0.05882518010474058
9714,MKD,8708,1961,0.013058950022097449,1,0.013058950022097449
9715,MKD,8855,1962,0.008941937375661624,1,0.008941937375661624
9716,MKD,9002,1963,0.15032820755778786,1,0.15032820755778786
9717,MKD,9149,1964,0.24602861534101272,1,0.24602861534101272
9718,MKD,9296,1965,-0.09944448369597048,1,-0.09944448369597048
9719,MKD,9443,1966,0.0731493566886261,1,0.0731493566886261
9720,MKD,9590,1967,0.03276227499307005,1,0.03276227499307005
9721,MKD,9737,1968,0.02190703924236992,1,0.02190703924236992
9722,MKD,9884,1969,0.0892054968234195,1,0.0892054968234195
9723,MKD,10034,1970,0.06554563104848299,1,0.06554563104848299
9724,MKD,10184,1971,0.050642022652587215,1,0.050642022652587215
9725,MKD,10334,1972,0.0345553630020099,1,0.0345553630020099
9726,MKD,10494,1973,0.04732920810500474,1,0.04732920810500474
9727,MKD,10649,1974,0.04333279275071256,1,0.04333279275071256
9728,MKD,10802,1975,0.03302591184088932,1,0.03302591184088932
9729,MKD,10955,1976,0.03098964231884338,1,0.03098964231884338
9730,MKD,11108,1977,0.04932972879538333,1,0.04932972879538333
9731,MKD,11261,1978,0.06661106073954493,1,0.06661106073954493
